group,label,fiber,L_m,P_W,Nt,J_after,J_after_dB,converged,iterations,gauge_C,gauge_alpha,a2,a3,a4,a5,a6,omega_mean,omega_range,residual_fraction
sweep_smf28,sweeps/smf28/L1m_P0.2W,SMF-28,1.0,0.2,8192,3.6613455599352954e-7,-64.36359280216865,true,25,-0.0097652449263999,-0.009619207551100637,-8.63179004932576,1.0375226878814403,18.815463088556847,-0.32119177314589203,-10.079837243442432,-0.31415926535897926,45.86725274241098,0.8921334881990118
sweep_smf28,sweeps/smf28/L2m_P0.05W,SMF-28,2.0,0.05,8192,3.376343350474656e-7,-64.71553395093107,true,37,0.027740985693422954,0.0028726438661938352,0.6620768474051819,-0.31207197379240725,-1.9370456521117356,0.2424098716863668,1.1661905937650023,0.24166097335306072,45.91558493708159,0.9862054186296284
sweep_smf28,sweeps/smf28/L2m_P0.1W,SMF-28,2.0,0.1,8192,6.465517430025278e-6,-51.89396713163703,true,19,-0.7047626178526484,0.03194610876688631,-108.89395314889501,-7.795038419216026,299.9341623011485,12.934203595677133,-198.28351583254798,-1.2396099184724493e-16,46.0766922526503,0.8718034376188742
sweep_smf28,sweeps/smf28/L2m_P0.2W,SMF-28,2.0,0.2,8192,8.824093394820636e-7,-60.5432990394042,true,18,-0.33386167548194223,-0.030575041815749902,-24.715225828465755,10.615215899501392,51.802119034032515,-7.050136899583434,-25.83330053902711,0.07853981633974476,46.024332375090474,0.9463693312048786
sweep_smf28,sweeps/smf28/L5m_P0.05W,SMF-28,5.0,0.05,8192,3.150503820906868e-5,-45.01619989339518,true,6,-0.08008749501211619,0.01895611927622813,-3.0684256694179934,-0.15741448388750973,7.976537727785684,-0.05960871217619871,-5.3853729589671735,-2.3509680195674348e-17,46.0766922526503,0.998206883717971
sweep_smf28,sweeps/smf28/L5m_P0.1W,SMF-28,5.0,0.1,16384,5.258276522722986e-6,-52.79156578911484,true,48,-0.33441739971879053,-0.029332229866040317,-70.69624252380414,5.573544491885719,173.2018728891633,-2.3816801830333723,-102.21105769615623,0.02731819698773738,46.05848012132515,0.862065947767488
sweep_smf28,sweeps/smf28/L5m_P0.2W,SMF-28,5.0,0.2,32768,0.00021081277338688673,-36.76103078263216,false,60,-0.044971591869442565,-0.003804477078300953,-3.4011917567190215,1.3596908189966297,7.468756871008876,-0.8898550153617474,-3.970755058349703,1.226560622755129e-15,46.09742883782251,0.9480381209817735
sweep_hnlf,sweeps/hnlf/L0.5m_P0.005W,HNLF,0.5,0.005,8192,1.0953222157204369e-7,-69.60458103723879,true,28,1.8435718925190578,-0.21265196901066327,8.587865807032001,-17.77574220972615,-51.27393597478719,27.98279400315865,37.453834658042844,8.401687753920104e-17,45.23893421169302,0.740725568689447
sweep_hnlf,sweeps/hnlf/L0.5m_P0.01W,HNLF,0.5,0.01,8192,3.589709626046484e-8,-74.44940680364866,true,49,1.598806697552123,-0.2684236367858456,24.348003891800573,-27.763565833589862,-119.88814442344339,43.78010959097026,89.37427470276928,8.401687753920104e-17,45.23893421169302,0.7234317773351546
sweep_hnlf,sweeps/hnlf/L0.5m_P0.03W,HNLF,0.5,0.03,8192,7.922265597145893e-6,-51.011506017901816,true,13,-1.4973481971012554,0.7046970249962409,-58.27302830951828,52.18541656512055,111.4136577101806,-63.13911311585286,-49.19808137770771,8.401687753920104e-17,45.23893421169302,0.8059475130882461
