label,test,parameter,J_dB_mean,J_dB_max,delta_mean_dB,delta_max_dB,n_eval
cubic32_fullgrid,gaussian_phase_noise,0.02,-66.7623912046674,-66.7623912046674,0.3928478817047676,0.3928478817047676,1
cubic32_fullgrid,gaussian_phase_noise,0.05,-65.82308831973197,-65.82308831973197,1.332150766640197,1.332150766640197,1
cubic32_fullgrid,gaussian_phase_noise,0.1,-61.94731880525117,-61.94731880525117,5.207920281120991,5.207920281120991,1
cubic32_fullgrid,active_band_resample_pixels,64,-45.23349387800779,-45.23349387800779,21.92174520836437,21.92174520836437,1
cubic32_fullgrid,active_band_resample_pixels,128,-16.64113965743599,-16.64113965743599,50.51409942893618,50.51409942893618,1
cubic32_fullgrid,active_band_resample_pixels,256,-26.506271843546724,-26.506271843546724,40.648967242825435,40.648967242825435,1
cubic32_fullgrid,active_band_moving_average,3,-55.8059433280516,-55.8059433280516,11.349295758320565,11.349295758320565,1
cubic32_fullgrid,active_band_moving_average,9,-45.78826200577623,-45.78826200577623,21.36697708059593,21.36697708059593,1
cubic32_fullgrid,active_band_moving_average,17,-45.07912963917053,-45.07912963917053,22.07610944720163,22.07610944720163,1
cubic32_fullgrid,wrapped_slm_pixels_bits,64x8,-1.1166917632858504,-1.1166917632858504,66.0385473230863,66.0385473230863,1
cubic32_fullgrid,wrapped_slm_pixels_bits,128x8,-1.1201612456612482,-1.1201612456612482,66.03507784071091,66.03507784071091,1
cubic32_fullgrid,wrapped_slm_pixels_bits,128x10,-1.1164120031007814,-1.1164120031007814,66.03882708327139,66.03882708327139,1
cubic32_fullgrid,wrapped_slm_pixels_bits,256x10,-1.1718448361129405,-1.1718448361129405,65.98339425025922,65.98339425025922,1
zero_fullgrid,native_recheck,none,-55.74771745723551,-55.74771745723551,0.0,0.0,1
zero_fullgrid,gaussian_phase_noise,0.02,-55.59549590903192,-55.59549590903192,0.1522215482035918,0.1522215482035918,1
zero_fullgrid,gaussian_phase_noise,0.05,-55.31402148184214,-55.31402148184214,0.4336959753933698,0.4336959753933698,1
zero_fullgrid,gaussian_phase_noise,0.1,-55.41653501269807,-55.41653501269807,0.33118244453743984,0.33118244453743984,1
zero_fullgrid,active_band_resample_pixels,64,-3.8712517560634456,-3.8712517560634456,51.876465701172066,51.876465701172066,1
zero_fullgrid,active_band_resample_pixels,128,-16.665416630295073,-16.665416630295073,39.08230082694044,39.08230082694044,1
zero_fullgrid,active_band_resample_pixels,256,-19.03745915820239,-19.03745915820239,36.710258299033114,36.710258299033114,1
zero_fullgrid,active_band_moving_average,3,-53.77029026672201,-53.77029026672201,1.9774271905135024,1.9774271905135024,1
zero_fullgrid,active_band_moving_average,9,-46.54325247159918,-46.54325247159918,9.204464985636328,9.204464985636328,1
zero_fullgrid,active_band_moving_average,17,-43.92188420599383,-43.92188420599383,11.825833251241683,11.825833251241683,1
zero_fullgrid,wrapped_slm_pixels_bits,64x8,-1.2826211236792795,-1.2826211236792795,54.46509633355623,54.46509633355623,1
zero_fullgrid,wrapped_slm_pixels_bits,128x8,-19.23720436873576,-19.23720436873576,36.51051308849975,36.51051308849975,1
zero_fullgrid,wrapped_slm_pixels_bits,128x10,-19.9557079970846,-19.9557079970846,35.79200946015091,35.79200946015091,1
zero_fullgrid,wrapped_slm_pixels_bits,256x10,-1.517810732353215,-1.517810732353215,54.2299067248823,54.2299067248823,1
simple_phase17,native_recheck,none,-76.86151180854652,-76.86151180854652,0.0,0.0,1
simple_phase17,gaussian_phase_noise,0.02,-75.1050221627788,-75.1050221627788,1.7564896457677293,1.7564896457677293,1
simple_phase17,gaussian_phase_noise,0.05,-68.22312794896554,-68.22312794896554,8.638383859580983,8.638383859580983,1
simple_phase17,gaussian_phase_noise,0.1,-63.73989513380372,-63.73989513380372,13.121616674742803,13.121616674742803,1
simple_phase17,active_band_resample_pixels,64,-34.08979222602841,-34.08979222602841,42.77171958251812,42.77171958251812,1
simple_phase17,active_band_resample_pixels,128,-37.89844115826276,-37.89844115826276,38.96307065028376,38.96307065028376,1
simple_phase17,active_band_resample_pixels,256,-48.2321760573917,-48.2321760573917,28.629335751154827,28.629335751154827,1
simple_phase17,active_band_moving_average,3,-71.04772953427256,-71.04772953427256,5.8137822742739615,5.8137822742739615,1
simple_phase17,active_band_moving_average,9,-60.9787810417437,-60.9787810417437,15.882730766802823,15.882730766802823,1
simple_phase17,active_band_moving_average,17,-55.840537772087124,-55.840537772087124,21.0209740364594,21.0209740364594,1
simple_phase17,wrapped_slm_pixels_bits,64x8,-31.53861927668369,-31.53861927668369,45.322892531862834,45.322892531862834,1
simple_phase17,wrapped_slm_pixels_bits,128x8,-31.53852021185201,-31.53852021185201,45.322991596694514,45.322991596694514,1
simple_phase17,wrapped_slm_pixels_bits,128x10,-31.551783669540306,-31.551783669540306,45.30972813900622,45.30972813900622,1
simple_phase17,wrapped_slm_pixels_bits,256x10,-31.685019630327357,-31.685019630327357,45.17649217821916,45.17649217821916,1
longfiber100m_phase16,native_recheck,none,-54.76581847340806,-54.76581847340806,5.684341886080802e-14,5.684341886080802e-14,1
longfiber100m_phase16,gaussian_phase_noise,0.02,-54.74514104792576,-54.74514104792576,0.020677425482354295,0.020677425482354295,1
longfiber100m_phase16,gaussian_phase_noise,0.05,-54.54912769096856,-54.54912769096856,0.21669078243955653,0.21669078243955653,1
longfiber100m_phase16,gaussian_phase_noise,0.1,-54.25848528296045,-54.25848528296045,0.5073331904476674,0.5073331904476674,1
longfiber100m_phase16,active_band_resample_pixels,64,-0.2740905096199964,-0.2740905096199964,54.49172796378812,54.49172796378812,1
longfiber100m_phase16,active_band_resample_pixels,128,-0.7143599284194856,-0.7143599284194856,54.051458544988634,54.051458544988634,1
longfiber100m_phase16,active_band_resample_pixels,256,-2.733333941986374,-2.733333941986374,52.032484531421744,52.032484531421744,1
longfiber100m_phase16,active_band_moving_average,3,-54.81443900880962,-54.81443900880962,-0.04862053540150413,-0.04862053540150413,1
longfiber100m_phase16,active_band_moving_average,9,-54.8304091336145,-54.8304091336145,-0.0645906602063846,-0.0645906602063846,1
longfiber100m_phase16,active_band_moving_average,17,-54.78644779189946,-54.78644779189946,-0.02062931849134486,-0.02062931849134486,1
longfiber100m_phase16,wrapped_slm_pixels_bits,64x8,-0.22102151339433304,-0.22102151339433304,54.544796960013784,54.544796960013784,1
longfiber100m_phase16,wrapped_slm_pixels_bits,128x8,-0.4272208188819815,-0.4272208188819815,54.33859765452613,54.33859765452613,1
longfiber100m_phase16,wrapped_slm_pixels_bits,128x10,-0.4253873908479906,-0.4253873908479906,54.34043108256013,54.34043108256013,1
longfiber100m_phase16,wrapped_slm_pixels_bits,256x10,-1.00715333643632,-1.00715333643632,53.7586651369718,53.7586651369718,1
